player_name,season,team,innings,not_outs,total_runs,highest_score,avg_runs_per_innings,centuries,fifties,thirties,ducks,total_balls,total_fours,total_sixes,total_dot_balls,total_pp_runs,total_middle_runs,total_death_runs,season_strike_rate,season_boundary_pct,season_dot_ball_pct,batting_average
SE Marsh,2008,Punjab Kings,11,1,616,115,56.0,1,5,3,0,452,59,26,151,212,353,51,136.28,18.81,33.41,61.6
G Gambhir,2008,Delhi Capitals,14,1,534,86,38.14,0,5,3,0,394,68,8,112,300,210,24,135.53,19.29,28.43,41.08
ST Jayasuriya,2008,Mumbai Indians,14,2,514,114,36.71,1,2,4,0,333,57,31,127,350,164,0,154.35,26.43,38.14,42.83
SR Watson,2008,Rajasthan Royals,15,6,472,76,31.47,0,4,2,1,322,47,19,95,58,351,63,146.58,20.5,29.5,52.44
GC Smith,2008,Rajasthan Royals,11,2,441,91,40.09,0,3,3,0,375,54,8,137,181,204,56,117.6,16.53,36.53,49.0
AC Gilchrist,2008,Sunrisers Hyderabad,14,1,436,109,31.14,1,3,1,0,328,51,19,134,274,162,0,132.93,21.34,40.85,33.54
YK Pathan,2008,Rajasthan Royals,15,3,435,68,29.0,0,4,3,0,253,43,25,75,115,207,113,171.94,26.88,29.64,36.25
SK Raina,2008,Chennai Super Kings,14,5,421,55,30.07,0,3,4,0,304,35,18,84,93,281,47,138.49,17.43,27.63,46.78
MS Dhoni,2008,Chennai Super Kings,14,4,414,65,29.57,0,2,6,0,319,38,15,105,0,229,185,129.78,16.61,32.92,41.4
V Sehwag,2008,Delhi Capitals,14,3,406,94,29.0,0,3,2,2,229,46,21,58,236,170,0,177.29,29.26,25.33,36.91
RG Sharma,2008,Sunrisers Hyderabad,12,1,404,76,33.67,0,4,3,1,276,38,19,90,16,232,156,146.38,20.65,32.61,36.73
R Dravid,2008,Royal Challengers Bengaluru,14,1,371,75,26.5,0,2,4,2,299,35,11,100,37,221,113,124.08,15.38,33.44,28.54
SC Ganguly,2008,Kolkata Knight Riders,13,1,349,91,26.85,0,3,1,0,324,33,15,142,128,159,62,107.72,14.81,43.83,29.08
S Dhawan,2008,Delhi Capitals,14,4,340,68,24.29,0,4,0,1,308,35,8,114,65,198,77,110.39,13.96,37.01,34.0
RV Uthappa,2008,Mumbai Indians,14,4,320,48,22.86,0,0,5,0,291,34,9,110,54,212,54,109.97,14.78,37.8,32.0
KC Sangakkara,2008,Punjab Kings,9,0,320,94,35.56,0,4,0,0,207,41,8,56,134,138,48,154.59,23.67,27.05,35.56
DJ Hussey,2008,Kolkata Knight Riders,13,2,319,71,24.54,0,2,3,2,267,19,17,95,20,174,125,119.48,13.48,35.58,29.0
SA Asnodkar,2008,Rajasthan Royals,9,1,311,60,34.56,0,2,4,0,241,43,6,81,208,103,0,129.05,20.33,33.61,38.88
PA Patel,2008,Chennai Super Kings,13,2,302,54,23.23,0,2,1,1,315,42,3,143,198,104,0,95.87,14.29,45.4,27.45
Yuvraj Singh,2008,Punjab Kings,14,2,299,57,21.36,0,1,2,0,191,24,19,60,27,163,109,156.54,22.51,31.41,24.92
Y Venugopal Rao,2008,Sunrisers Hyderabad,10,2,288,71,28.8,0,2,2,0,217,22,15,73,35,112,141,132.72,17.05,33.64,36.0
JA Morkel,2008,Chennai Super Kings,10,3,241,71,24.1,0,1,2,0,168,18,14,56,0,135,106,143.45,19.05,33.33,34.43
MV Boucher,2008,Royal Challengers Bengaluru,10,2,225,50,22.5,0,1,3,0,181,24,6,59,22,89,114,124.31,16.57,32.6,28.13
JR Hopes,2008,Punjab Kings,11,0,221,71,20.09,0,2,0,1,152,27,8,57,145,76,0,145.39,23.03,37.5,20.09
AM Nayar,2008,Mumbai Indians,10,2,206,45,20.6,0,0,3,0,142,16,9,34,0,107,99,145.07,17.61,23.94,25.75
JH Kallis,2008,Royal Challengers Bengaluru,11,1,199,54,18.09,0,1,1,0,188,23,4,71,95,77,27,105.85,14.36,37.77,19.9
SP Fleming,2008,Chennai Super Kings,10,1,196,45,19.6,0,0,3,1,171,27,3,74,120,76,0,114.62,17.54,43.27,21.78
Salman Butt,2008,Kolkata Knight Riders,7,0,193,73,27.57,0,1,1,0,172,30,2,70,104,73,16,112.21,18.6,40.7,27.57
