player_name,season,team,matches,total_legal_balls,total_overs,total_runs_conceded,total_wickets,total_wides,total_no_balls,total_dot_balls,five_wicket_hauls,three_plus_wickets,best_bowling_wickets,total_pp_wickets,total_death_wickets,total_pp_runs_conceded,total_middle_runs_conceded,total_death_runs_conceded,season_economy,season_dot_pct,bowling_average,bowling_strike_rate
Sohail Tanvir,2008,Rajasthan Royals,11,247,41.2,275,24,17,1,121,1,6,6,6,18,145,8,122,6.68,45.66,11.46,10.29
IK Pathan,2008,Punjab Kings,14,318,53.0,361,20,18,0,150,0,2,3,7,7,170,96,95,6.81,44.64,18.05,15.9
JA Morkel,2008,Chennai Super Kings,13,288,48.0,414,20,17,5,100,0,3,4,2,13,121,152,141,8.63,32.26,20.7,14.4
SR Watson,2008,Rajasthan Royals,15,325,54.2,395,20,14,5,158,0,2,3,9,9,221,49,125,7.29,45.93,19.75,16.25
SK Warne,2008,Rajasthan Royals,15,312,52.0,409,20,7,0,107,0,2,3,0,5,0,302,107,7.87,33.54,20.45,15.6
MF Maharoof,2008,Delhi Capitals,10,216,36.0,255,19,10,0,84,0,3,4,1,10,37,120,98,7.08,37.17,13.42,11.37
S Sreesanth,2008,Punjab Kings,15,307,51.2,451,19,21,4,132,0,1,3,13,6,293,62,96,8.81,39.76,23.74,16.16
PP Chawla,2008,Punjab Kings,15,281,46.8,396,19,5,0,110,0,3,4,1,3,14,334,48,8.46,38.46,20.84,14.79
MS Gony,2008,Chennai Super Kings,16,360,60.0,456,18,9,2,154,0,2,3,13,3,342,68,46,7.6,41.51,25.33,20.0
VY Mahesh,2008,Delhi Capitals,11,253,42.2,380,17,6,7,94,1,2,5,3,10,124,186,70,9.01,35.34,22.35,14.88
RP Singh,2008,Sunrisers Hyderabad,14,308,51.3,459,17,16,1,122,0,2,3,5,11,239,44,176,8.94,37.54,27.0,18.12
MM Patel,2008,Rajasthan Royals,15,330,55.0,423,16,5,1,141,0,1,3,3,3,219,103,101,7.69,41.96,26.44,20.63
SK Trivedi,2008,Rajasthan Royals,15,288,48.0,407,15,11,1,102,0,1,3,1,6,52,291,64,8.48,34.0,27.13,19.2
Z Khan,2008,Royal Challengers Bengaluru,11,252,42.0,369,15,6,0,100,0,2,4,9,5,221,56,92,8.79,38.76,24.6,16.8
VRV Singh,2008,Punjab Kings,13,288,48.0,425,15,5,3,94,0,2,3,1,10,102,190,133,8.85,31.76,28.33,19.2
Umar Gul,2008,Kolkata Knight Riders,6,135,22.5,198,14,12,6,51,0,2,4,5,5,42,68,88,8.8,33.33,14.14,9.64
A Nehra,2008,Mumbai Indians,14,269,44.8,357,14,10,1,120,0,2,3,6,5,209,50,98,7.96,42.86,25.5,19.21
GD McGrath,2008,Delhi Capitals,14,324,54.0,366,14,4,1,153,0,1,4,9,3,218,28,120,6.78,46.5,26.14,23.14
DW Steyn,2008,Royal Challengers Bengaluru,10,228,38.0,265,13,17,2,116,0,3,3,2,7,154,62,49,6.97,46.96,20.38,17.54
DS Kulkarni,2008,Mumbai Indians,10,177,29.5,242,13,12,4,77,0,3,3,2,6,68,89,85,8.2,39.9,18.62,13.62
SM Pollock,2008,Mumbai Indians,13,276,46.0,307,13,4,0,130,0,1,4,9,0,213,86,8,6.67,46.43,23.62,21.23
P Kumar,2008,Royal Challengers Bengaluru,13,268,44.7,376,12,7,0,109,0,1,3,2,5,165,113,98,8.42,39.64,31.33,22.33
CRD Fernando,2008,Mumbai Indians,5,120,20.0,164,12,7,1,49,1,2,5,5,5,20,49,95,8.2,38.28,13.67,10.0
PP Ojha,2008,Sunrisers Hyderabad,12,222,37.0,299,11,14,0,70,0,0,2,0,5,33,189,77,8.08,29.66,27.18,20.18
L Balaji,2008,Chennai Super Kings,9,198,33.0,293,11,7,0,60,1,1,5,0,8,0,143,150,8.88,29.27,26.64,18.0
DJ Bravo,2008,Mumbai Indians,9,171,28.5,239,11,10,0,66,0,1,3,3,5,29,124,86,8.39,36.46,21.73,15.55
AB Dinda,2008,Kolkata Knight Riders,12,234,39.0,266,11,10,1,116,0,1,3,7,2,152,100,14,6.82,47.35,24.18,21.27
M Muralitharan,2008,Chennai Super Kings,15,348,58.0,416,11,20,1,127,0,0,2,0,5,7,316,93,7.17,34.42,37.82,31.64
A Mishra,2008,Delhi Capitals,6,119,19.8,140,11,3,1,42,1,1,5,1,4,21,99,20,7.06,34.15,12.73,10.82
YK Pathan,2008,Rajasthan Royals,13,169,28.2,233,10,1,0,59,0,1,3,4,0,29,169,35,8.27,34.71,23.3,16.9
R Bhatia,2008,Delhi Capitals,9,132,22.0,185,9,2,0,48,0,2,3,0,3,0,130,55,8.41,35.82,20.56,14.67
Joginder Sharma,2008,Chennai Super Kings,7,148,24.7,241,9,5,5,43,0,0,2,0,2,0,172,69,9.77,27.22,26.78,16.44
Shahid Afridi,2008,Sunrisers Hyderabad,10,180,30.0,237,9,4,1,57,0,1,3,1,2,26,152,59,7.9,30.81,26.33,20.0
Mohammad Asif,2008,Delhi Capitals,8,192,32.0,307,9,6,1,64,0,0,2,3,5,147,54,106,9.59,32.16,34.11,21.33
AB Agarkar,2008,Kolkata Knight Riders,9,156,26.0,211,8,11,1,66,0,1,3,2,2,104,96,11,8.12,39.29,26.38,19.5
A Kumble,2008,Royal Challengers Bengaluru,10,230,38.3,314,8,6,0,85,0,1,3,0,1,21,237,56,8.19,36.02,39.25,28.75
M Ntini,2008,Chennai Super Kings,9,210,35.0,257,8,1,2,99,0,1,4,5,3,182,22,53,7.34,46.48,32.13,26.25
I Sharma,2008,Kolkata Knight Riders,13,253,42.2,348,7,9,4,110,0,0,1,7,0,201,13,134,8.25,41.35,49.71,36.14
SC Ganguly,2008,Kolkata Knight Riders,7,120,20.0,132,7,1,0,46,0,1,3,0,0,3,129,0,6.6,38.02,18.86,17.14
P Amarnath,2008,Chennai Super Kings,6,132,22.0,241,7,0,0,29,0,0,2,0,1,12,189,40,10.95,21.97,34.43,18.86
R Vinay Kumar,2008,Royal Challengers Bengaluru,8,138,23.0,183,7,1,2,59,0,1,4,0,2,16,141,26,7.96,41.84,26.14,19.71
PJ Sangwan,2008,Delhi Capitals,7,144,24.0,221,7,10,1,47,0,0,2,2,2,74,94,53,9.21,30.32,31.57,20.57
JR Hopes,2008,Punjab Kings,11,168,28.0,285,7,3,0,52,0,0,2,1,3,26,120,139,10.18,30.41,40.71,24.0
Harbhajan Singh,2008,Mumbai Indians,3,60,10.0,84,6,2,0,16,0,1,4,0,4,0,58,26,8.4,25.81,14.0,10.0
SB Bangar,2008,Sunrisers Hyderabad,9,150,25.0,221,6,3,0,55,0,0,2,2,1,13,151,57,8.84,35.95,36.83,25.0
JDP Oram,2008,Chennai Super Kings,4,96,16.0,149,6,4,0,32,0,1,3,3,3,105,8,36,9.31,32.0,24.83,16.0
WPUJC Vaas,2008,Sunrisers Hyderabad,5,102,17.0,146,6,1,0,41,0,0,2,5,1,98,6,42,8.59,39.81,24.33,17.0
