match_id,season,venue,winner,ai_report,generated_at
1426312,2024,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,"Mitchell Starc’s clinical opening spell decimated the Sunrisers for a meager 113, setting the stage for a comprehensive demolition at the Chepauk. The Kolkata Knight Riders chased down the target with ease, securing a dominant 8-wicket victory to cap off a masterclass in the 2024 season.",2026-06-09 10:53:25.552601
1426311,2024,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,"Sunrisers Hyderabad successfully defended their total of 175, stifling the Rajasthan Royals to just 139 to secure a commanding 36-run victory at the cauldron of Chepauk. Shahbaz Ahmed proved to be the difference-maker under pressure, earning the Player of the Match honors for his pivotal role in this dominant defensive display.",2026-06-09 10:53:25.552601
1426310,2024,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,"Rajasthan Royals clinically hunted down the target of 173 at the Narendra Modi Stadium, securing a thrilling four-wicket victory in this 2024 showdown. R Ashwin steered the ship with a masterful performance, earning the Player of the Match honors as his side expertly chased down the Bengaluru total.",2026-06-09 10:53:25.552601
1426309,2024,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,"Kolkata Knight Riders clinical bowling display, spearheaded by Player of the Match Mitchell Starc, restricted Sunrisers Hyderabad to a modest 159 at the Narendra Modi Stadium. The Knight Riders then made light work of the target, chasing down 160 with ease to secure a commanding 8-wicket victory.",2026-06-09 10:53:25.552601
1426307,2024,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,"In a high-octane thriller at the Rajiv Gandhi International Stadium, Sunrisers Hyderabad masterfully chased down a mammoth target of 215 to secure a nail-biting four-wicket victory against Punjab Kings. Abhishek Sharma was the architect of this incredible pursuit, earning player of the match honors for his clinical performance in Hyderabad's record-breaking night.",2026-06-09 10:53:25.552601
1426306,2024,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,"In a high-octane thriller at the Chinnaswamy, Royal Challengers Bengaluru defended their massive total of 218 as Faf du Plessis steered his side to a pulsating 27-run victory over Chennai Super Kings. The packed Bengaluru crowd erupted in joy as the bowlers held their nerve, restricting CSK to 191 to seal a memorable win for the home team.",2026-06-09 10:53:25.552601
1426305,2024,"Wankhede Stadium, Mumbai",Lucknow Super Giants,"Lucknow Super Giants successfully defended their imposing total of 214 as Nicholas Pooran’s match-winning heroics left the Wankhede crowd stunned. Despite a spirited chase, Mumbai Indians fell 18 runs short, finishing on 196 to hand the Super Giants a thrilling victory.",2026-06-09 10:53:25.552601
1426303,2024,"Barsapara Cricket Stadium, Guwahati",Punjab Kings,"In a thrilling Guwahati showdown, Punjab Kings successfully chased down Rajasthan Royals’ target of 144, sealing a hard-fought five-wicket victory. Sam Curran was the architect of the win, delivering a brilliant all-round performance to rightfully claim the Player of the Match honors.",2026-06-09 10:53:25.552601
1426302,2024,"Arun Jaitley Stadium, Delhi",Delhi Capitals,"Delhi Capitals put on a masterclass at the Arun Jaitley Stadium, defending their imposing total of 208 to secure a thrilling 19-run victory over the Lucknow Super Giants. Ishant Sharma was the undisputed hero of the night, delivering a match-winning spell that kept the visitors restricted to 189 and rightfully earning him the Player of the Match honors.",2026-06-09 10:53:25.552601
1426300,2024,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,"Royal Challengers Bengaluru defended their total of 187 with absolute clinical precision, dismantling the Delhi Capitals for just 140 to seal a commanding 47-run victory at the Chinnaswamy. Cameron Green proved to be the standout performer of the night, rightfully earning the Player of the Match honors for his all-round brilliance in this crucial IPL 2024 encounter.",2026-06-09 10:53:25.552601
1426299,2024,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,"Simarjeet Singh delivered a fiery spell to restrict the Rajasthan Royals to 141, setting the stage for a clinical run chase at the Chepauk. The Chennai Super Kings held their nerve under pressure, crossing the finish line with five wickets in hand to seal a memorable victory in front of their home crowd.",2026-06-09 10:53:25.552601
1426298,2024,"Eden Gardens, Kolkata",Kolkata Knight Riders,"Kolkata Knight Riders defended their total of 157 with clinical precision at a packed Eden Gardens, restricting the Mumbai Indians to 139 to secure a thrilling 18-run victory. The spin wizard CV Varun proved to be the difference-maker as he bamboozled the batting lineup to rightfully claim the Player of the Match honors.",2026-06-09 10:53:25.552601
1426297,2024,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,"Shubman Gill’s masterclass powered the Gujarat Titans to a formidable 231, setting the stage for a clinical bowling performance at the Narendra Modi Stadium. The Titans successfully defended their total as they restricted the Chennai Super Kings to 196, sealing a convincing 35-run victory in Ahmedabad.",2026-06-09 10:53:25.552601
1426296,2024,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,"Virat Kohli’s masterclass powered Royal Challengers Bengaluru to a formidable 241, setting the stage for a clinical bowling display in the scenic Dharamsala hills. The RCB bowlers lived up to the billing as they defended the total comfortably, bowling out the Punjab Kings for 181 to secure a commanding 60-run victory.",2026-06-09 10:53:25.552601
1426295,2024,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,"Sunrisers Hyderabad absolutely demolished the Lucknow Super Giants at Uppal, racing to 167 without losing a single wicket to chase down the target of 165 with clinical precision. Travis Head was in a league of his own, delivering a masterclass as the Sunrisers secured a thumping 10-wicket victory in front of their home crowd.",2026-06-09 10:53:25.552601
1426294,2024,"Arun Jaitley Stadium, Delhi",Delhi Capitals,"Delhi Capitals defended their imposing total of 221 at the Arun Jaitley Stadium, restricting the Rajasthan Royals to 201 to secure a thrilling 20-run victory. Kuldeep Yadav delivered a masterful performance to claim player of the match honors and anchor a crucial win for the home side.",2026-06-09 10:53:25.552601
1426293,2024,"Wankhede Stadium, Mumbai",Mumbai Indians,"Suryakumar Yadav produced a masterclass at the Wankhede as Mumbai Indians clinically chased down Sunrisers Hyderabad’s 173 to secure a resounding 7-wicket victory. The Player of the Match steered his side to a comfortable win, putting the finishing touches on a memorable 174-run pursuit in the 2024 season.",2026-06-09 10:53:25.552601
1426292,2024,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,"Kolkata Knight Riders flexed their muscle at the Ekana Stadium as Sunil Narine’s brilliance powered them to a mammoth 235, setting the stage for a clinical bowling display. Lucknow Super Giants were never in the hunt, crumbling under the pressure as KKR successfully defended the total to secure a commanding 98-run victory.",2026-06-09 10:53:25.552601
1426291,2024,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings,"Chennai Super Kings successfully defended their total of 167 as Ravindra Jadeja’s masterful all-round performance stifled Punjab Kings to just 139. With this dominant 28-run victory in the scenic Dharamsala, Jadeja rightfully walked away with the Player of the Match honors.",2026-06-09 10:53:25.552601
1426290,2024,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,"The Royal Challengers Bengaluru faithful erupted at M. Chinnaswamy Stadium as Mohammed Siraj’s masterclass set the tone for a clinical chase of 148. The home side comfortably hunted down the target in 13.4 overs, securing a dominant four-wicket victory to keep their IPL 2024 campaign alive.",2026-06-09 10:53:25.552601
