team,season,matches_played,matches_won,matches_lost,win_pct,avg_runs_scored,avg_runs_conceded,total_sixes,total_fours,toss_wins,toss_win_and_match_win,toss_win_conversion_pct,times_batted_first,times_chased,won_batting_first,won_chasing,win_pct_batting_first,win_pct_chasing
Rajasthan Royals,2008,16,13,3,81.3,162.6,150.2,85,259,11,9,81.8,6,10,4,9,66.7,90.0
Punjab Kings,2008,15,10,5,66.7,164.3,161.1,95,231,8,4,50.0,7,8,4,6,57.1,75.0
Chennai Super Kings,2008,16,9,7,56.3,157.5,160.5,86,244,5,3,60.0,9,7,4,5,44.4,71.4
Delhi Capitals,2008,14,7,7,50.0,151.3,158.8,54,218,6,2,33.3,6,8,2,5,33.3,62.5
Mumbai Indians,2008,14,7,7,50.0,148.6,149.7,76,197,8,4,50.0,6,8,2,5,33.3,62.5
Kolkata Knight Riders,2008,13,6,7,46.2,149.4,132.2,76,162,6,3,50.0,9,4,4,2,44.4,50.0
Royal Challengers Bengaluru,2008,14,4,10,28.6,141.6,157.5,59,187,5,1,20.0,7,7,2,2,28.6,28.6
Sunrisers Hyderabad,2008,14,2,12,14.3,159.2,164.8,92,205,9,2,22.2,8,6,0,2,0.0,33.3
Delhi Capitals,2009,15,10,5,66.7,142.1,143.9,51,188,9,6,66.7,7,8,3,7,42.9,87.5
Chennai Super Kings,2009,14,8,6,57.1,159.4,143.1,73,192,7,4,57.1,10,4,6,2,60.0,50.0
Sunrisers Hyderabad,2009,16,9,7,56.3,150.5,149.2,99,173,10,7,70.0,8,8,5,4,62.5,50.0
Royal Challengers Bengaluru,2009,16,9,7,56.3,142.5,144.8,67,192,8,5,62.5,6,10,3,6,50.0,60.0
Punjab Kings,2009,14,7,7,50.0,137.7,134.7,61,140,6,4,66.7,6,8,3,4,50.0,50.0
Rajasthan Royals,2009,13,6,7,46.2,129.8,139.2,45,147,4,2,50.0,5,8,3,3,60.0,37.5
Mumbai Indians,2009,13,5,8,38.5,145.9,138.6,54,145,6,3,50.0,8,5,4,1,50.0,20.0
Kolkata Knight Riders,2009,13,3,10,23.1,135.2,150.5,56,140,7,2,28.6,7,6,0,3,0.0,50.0
Mumbai Indians,2010,16,11,5,68.8,171.1,151.1,75,261,9,6,66.7,11,5,8,3,72.7,60.0
Chennai Super Kings,2010,16,9,7,56.3,162.2,156.7,97,212,10,6,60.0,8,8,5,4,62.5,50.0
Royal Challengers Bengaluru,2010,16,8,8,50.0,150.1,156.9,77,214,6,2,33.3,4,12,1,7,25.0,58.3
Delhi Capitals,2010,14,7,7,50.0,153.9,154.7,58,190,8,5,62.5,6,8,4,3,66.7,37.5
Sunrisers Hyderabad,2010,16,8,8,50.0,148.4,155.1,84,197,9,5,55.6,7,9,5,3,71.4,33.3
Kolkata Knight Riders,2010,14,7,7,50.0,153.1,156.6,63,199,7,4,57.1,8,6,4,3,50.0,50.0
Rajasthan Royals,2010,14,6,8,42.9,155.6,158.9,74,202,6,3,50.0,8,6,4,2,50.0,33.3
Punjab Kings,2010,14,4,10,28.6,162.7,168.9,57,233,5,0,0.0,8,6,1,3,12.5,50.0
Chennai Super Kings,2011,16,11,5,68.8,160.0,143.8,91,204,9,7,77.8,12,4,8,3,66.7,75.0
Mumbai Indians,2011,16,10,6,62.5,143.0,142.7,57,221,6,3,50.0,8,8,5,5,62.5,62.5
Royal Challengers Bengaluru,2011,16,10,6,62.5,154.3,157.0,94,225,6,5,83.3,5,11,3,7,60.0,63.6
Kolkata Knight Riders,2011,15,8,7,53.3,134.9,138.1,45,191,7,5,71.4,7,8,3,5,42.9,62.5
Punjab Kings,2011,14,7,7,50.0,158.9,155.2,74,219,10,4,40.0,7,7,4,3,57.1,42.9
Rajasthan Royals,2011,13,6,7,46.2,129.8,138.5,42,153,7,4,57.1,5,8,0,6,0.0,75.0
Sunrisers Hyderabad,2011,14,6,8,42.9,152.9,145.5,48,194,6,3,50.0,9,5,5,1,55.6,20.0
Kochi Tuskers Kerala,2011,14,6,8,42.9,135.8,141.9,53,170,8,4,50.0,7,7,2,4,28.6,57.1
Pune Warriors,2011,13,4,9,30.8,136.5,142.9,60,154,5,0,0.0,6,7,0,4,0.0,57.1
Delhi Capitals,2011,14,4,10,28.6,149.1,159.7,75,185,9,3,33.3,7,7,2,2,28.6,28.6
